airline,date_of_journey,source,destination,dep_time,arrival_time,total_stops,additional_info,price
Multiple Carriers,2019-06-15,Delhi,Cochin,15:05:00,01:30:00,2.0,No Info,15965
Air India,2019-03-24,Kolkata,Banglore,07:00:00,01:20:00,2.0,No Info,13428
Spicejet,2019-05-15,Banglore,Delhi,09:30:00,12:20:00,0.0,No Info,4423
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,04:40:00,1.0,In-flight meal not included,8849
Indigo,2019-05-24,Kolkata,Banglore,15:30:00,18:05:00,0.0,No Info,4804
Air Asia,2019-05-18,Kolkata,Banglore,07:35:00,19:25:00,1.0,No Info,5192
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,23:35:00,1.0,No Info,14571
Indigo,2019-06-01,Mumbai,Hyderabad,12:00:00,13:30:00,0.0,No Info,2754
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,19:15:00,1.0,In-flight meal not included,11761
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,04:40:00,1.0,No Info,12576
Air India,2019-06-18,Banglore,Delhi,10:00:00,12:45:00,0.0,No Info,6961
Jet Airways,2019-04-21,Banglore,Delhi,08:20:00,11:20:00,0.0,No Info,7229
Air India,2019-06-15,Delhi,Cochin,19:45:00,19:15:00,2.0,No Info,9653
Air India,2019-05-21,Kolkata,Banglore,10:00:00,01:20:00,2.0,No Info,13033
Indigo,2019-06-21,Banglore,Delhi,20:00:00,22:50:00,0.0,No Info,4823
Spicejet,2019-05-21,Chennai,Kolkata,09:45:00,12:00:00,0.0,No check-in baggage included,3543
Jet Airways,2019-05-15,Kolkata,Banglore,14:05:00,20:45:00,1.0,In-flight meal not included,10844
Air India,2019-03-03,Banglore,New Delhi,05:50:00,22:10:00,2.0,No Info,11791
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,16:20:00,1.0,No Info,13941
Air India,2019-04-01,Kolkata,Banglore,12:00:00,21:50:00,2.0,No Info,9258
Jet Airways,2019-03-27,Delhi,Cochin,09:55:00,18:50:00,1.0,No Info,12032
Goair,2019-06-09,Delhi,Cochin,14:25:00,19:35:00,1.0,No Info,9069
Indigo,2019-06-12,Delhi,Cochin,10:35:00,01:30:00,1.0,No Info,5883
Multiple Carriers,2019-06-12,Delhi,Cochin,09:15:00,19:00:00,1.0,No Info,11622
Air Asia,2019-04-18,Banglore,Delhi,04:55:00,07:45:00,0.0,No Info,4282
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,19:40:00,1.0,In-flight meal not included,11134
Vistara,2019-03-24,Banglore,New Delhi,07:00:00,09:40:00,0.0,No Info,4878
Jet Airways,2019-03-06,Banglore,New Delhi,08:00:00,20:20:00,1.0,No Info,16736
Air Asia,2019-03-09,Kolkata,Banglore,10:20:00,12:55:00,0.0,No Info,4384
Multiple Carriers,2019-03-03,Delhi,Cochin,07:10:00,16:10:00,1.0,In-flight meal not included,8552
Air India,2019-03-06,Delhi,Cochin,09:00:00,07:40:00,1.0,No Info,14882
Air India,2019-04-03,Banglore,Delhi,06:10:00,08:55:00,0.0,No Info,4441
Air India,2019-06-24,Delhi,Cochin,13:15:00,09:25:00,2.0,No Info,8839
Jet Airways,2019-06-01,Delhi,Cochin,14:35:00,12:35:00,2.0,No Info,13376
Indigo,2019-03-15,Banglore,New Delhi,21:20:00,00:15:00,0.0,No Info,8033
Jet Airways,2019-04-15,Banglore,Delhi,07:10:00,10:10:00,0.0,No Info,7229
Vistara,2019-03-27,Delhi,Cochin,06:00:00,09:10:00,0.0,No Info,4851
Air India,2019-04-27,Kolkata,Banglore,20:45:00,23:20:00,0.0,No Info,4145
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,19:00:00,1.0,No Info,16079
Air Asia,2019-06-27,Delhi,Cochin,20:45:00,07:10:00,1.0,No Info,6451
Air India,2019-03-27,Delhi,Cochin,20:30:00,23:00:00,1.0,No Info,5022
Air India,2019-03-09,Banglore,New Delhi,10:30:00,11:20:00,1.0,No Info,10321
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,09:05:00,1.0,No Info,10027
Spicejet,2019-03-03,Chennai,Kolkata,17:45:00,20:05:00,0.0,No Info,7298
Multiple Carriers,2019-05-06,Delhi,Cochin,19:00:00,01:30:00,1.0,No Info,8073
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,04:25:00,2.0,No Info,20064
Indigo,2019-06-06,Mumbai,Hyderabad,09:15:00,10:45:00,0.0,No Info,4049
Spicejet,2019-03-27,Kolkata,Banglore,17:15:00,19:45:00,0.0,No Info,3847
Multiple Carriers,2019-05-01,Delhi,Cochin,08:30:00,19:00:00,1.0,No Info,9627
Jet Airways,2019-05-27,Delhi,Cochin,09:40:00,12:35:00,2.0,In-flight meal not included,13029
Indigo,2019-05-15,Kolkata,Banglore,21:25:00,00:05:00,0.0,No Info,4804
Air Asia,2019-04-24,Delhi,Cochin,07:55:00,22:25:00,1.0,No Info,6152
Indigo,2019-03-27,Delhi,Cochin,06:40:00,12:00:00,1.0,No Info,5298
Spicejet,2019-05-24,Chennai,Kolkata,09:45:00,12:00:00,0.0,No Info,3597
Air India,2019-05-01,Kolkata,Banglore,09:25:00,07:55:00,1.0,No Info,8366
Vistara,2019-05-21,Banglore,Delhi,19:30:00,22:15:00,0.0,No Info,4878
Air India,2019-03-03,Banglore,New Delhi,06:45:00,10:35:00,2.0,No Info,12358
Jet Airways,2019-03-27,Delhi,Cochin,23:05:00,04:25:00,1.0,In-flight meal not included,7438
Indigo,2019-06-03,Delhi,Cochin,09:15:00,21:00:00,1.0,No Info,6838
Goair,2019-05-01,Delhi,Cochin,07:25:00,13:35:00,1.0,No Info,5842
Multiple Carriers,2019-06-12,Delhi,Cochin,08:00:00,21:00:00,1.0,No Info,13797
Multiple Carriers,2019-06-03,Delhi,Cochin,07:30:00,19:15:00,1.0,No Info,9736
Goair,2019-03-09,Delhi,Cochin,06:00:00,13:20:00,1.0,No Info,8422
Indigo,2019-03-24,Kolkata,Banglore,15:10:00,17:45:00,0.0,No Info,7615
Indigo,2019-04-18,Banglore,Delhi,16:55:00,19:55:00,0.0,No Info,4990
Air India,2019-05-21,Kolkata,Banglore,16:50:00,05:35:00,2.0,No Info,12324
Multiple Carriers,2019-05-15,Delhi,Cochin,15:00:00,01:30:00,1.0,No Info,13727
Spicejet,2019-05-21,Kolkata,Banglore,17:10:00,19:40:00,0.0,No check-in baggage included,3841
Indigo,2019-03-03,Banglore,New Delhi,10:05:00,13:00:00,0.0,No Info,7648
Air India,2019-05-01,Chennai,Kolkata,11:40:00,13:55:00,0.0,No Info,4667
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,10:25:00,1.0,In-flight meal not included,7832
Air Asia,2019-06-03,Banglore,Delhi,11:10:00,13:55:00,0.0,No Info,4483
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,23:35:00,1.0,No Info,12681
Air India,2019-03-21,Delhi,Cochin,13:30:00,23:00:00,1.0,No Info,5704
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,18:50:00,1.0,No Info,8820
Air Asia,2019-05-27,Banglore,Delhi,23:55:00,02:45:00,0.0,No Info,3383
Indigo,2019-05-27,Banglore,Delhi,10:10:00,13:00:00,0.0,No Info,3943
Air India,2019-05-21,Delhi,Cochin,17:15:00,07:40:00,2.0,No Info,13039
Jet Airways,2019-06-24,Delhi,Cochin,05:30:00,12:35:00,2.0,No Info,14441
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,19:00:00,2.0,In-flight meal not included,11150
Air India,2019-03-18,Chennai,Kolkata,11:40:00,13:55:00,0.0,No Info,4405
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,19:50:00,1.0,In-flight meal not included,8586
Multiple Carriers,2019-05-15,Delhi,Cochin,15:05:00,01:30:00,2.0,No Info,16840
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,12:35:00,2.0,No Info,12819
Air India,2019-04-24,Banglore,Delhi,13:20:00,16:10:00,0.0,No Info,6121
Vistara,2019-03-01,Banglore,New Delhi,06:40:00,10:25:00,1.0,No Info,12371
Jet Airways,2019-06-03,Delhi,Cochin,13:00:00,19:00:00,1.0,No Info,14714
Indigo,2019-06-03,Delhi,Cochin,11:25:00,01:30:00,1.0,No Info,5883
Vistara,2019-05-12,Banglore,Delhi,21:00:00,23:50:00,0.0,No Info,4668
Indigo,2019-05-18,Kolkata,Banglore,04:40:00,07:15:00,0.0,No Info,4804
Goair,2019-05-18,Delhi,Cochin,07:25:00,13:35:00,1.0,No Info,6296
Air India,2019-03-03,Banglore,New Delhi,06:10:00,08:55:00,0.0,No Info,8851
Indigo,2019-04-06,Kolkata,Banglore,11:30:00,14:05:00,0.0,No Info,4174
Indigo,2019-05-09,Chennai,Kolkata,19:35:00,21:55:00,0.0,No Info,3597
Air India,2019-04-01,Kolkata,Banglore,07:00:00,05:25:00,2.0,No Info,12219
Spicejet,2019-05-15,Chennai,Kolkata,09:45:00,12:00:00,0.0,No Info,3597
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,09:45:00,1.0,No Info,13067
Jet Airways,2019-03-03,Delhi,Cochin,11:30:00,04:25:00,1.0,No Info,19828
Jet Airways,2019-03-12,Mumbai,Hyderabad,03:00:00,16:35:00,1.0,No Info,22294
Indigo,2019-03-01,Banglore,New Delhi,19:35:00,00:35:00,1.0,No Info,22153
Indigo,2019-05-15,Banglore,Delhi,01:30:00,04:15:00,0.0,No Info,3419
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,04:25:00,2.0,In-flight meal not included,11150
Air India,2019-05-15,Delhi,Cochin,17:15:00,07:40:00,2.0,No Info,13039
Jet Airways,2019-06-21,Mumbai,Hyderabad,08:45:00,10:15:00,0.0,No Info,8040
Spicejet,2019-06-18,Kolkata,Banglore,17:10:00,19:40:00,0.0,No Info,3873
Multiple Carriers,2019-03-27,Delhi,Cochin,09:45:00,21:20:00,2.0,No Info,6653
Vistara,2019-05-09,Kolkata,Banglore,20:20:00,10:45:00,1.0,No Info,8452
Multiple Carriers,2019-05-18,Delhi,Cochin,03:50:00,12:35:00,1.0,No Info,10197
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,23:25:00,1.0,No Info,8085
Air India,2019-04-27,Delhi,Cochin,05:10:00,08:00:00,0.0,No Info,6094
Multiple Carriers,2019-05-27,Delhi,Cochin,14:55:00,22:30:00,1.0,No Info,7038
Jet Airways,2019-06-27,Delhi,Cochin,14:35:00,12:35:00,2.0,In-flight meal not included,10919
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,04:45:00,1.0,No Info,13759
Indigo,2019-03-21,Delhi,Cochin,11:30:00,01:35:00,1.0,No Info,7318
Indigo,2019-05-09,Delhi,Cochin,10:35:00,01:30:00,1.0,No Info,8330
Jet Airways,2019-03-21,Mumbai,Hyderabad,19:35:00,21:05:00,0.0,No Info,5678
Jet Airways,2019-03-27,Delhi,Cochin,17:30:00,19:45:00,1.0,In-flight meal not included,5406
Multiple Carriers,2019-03-06,Delhi,Cochin,13:00:00,01:35:00,1.0,No Info,15603
Jet Airways,2019-05-27,Delhi,Cochin,16:00:00,19:00:00,1.0,In-flight meal not included,12898
Multiple Carriers,2019-06-12,Delhi,Cochin,12:50:00,01:30:00,1.0,No Info,6795
Multiple Carriers,2019-06-12,Delhi,Cochin,11:25:00,19:00:00,1.0,No Info,10877
Multiple Carriers,2019-06-24,Delhi,Cochin,08:00:00,21:00:00,1.0,No Info,13797
Multiple Carriers,2019-06-15,Delhi,Cochin,06:00:00,19:15:00,1.0,No Info,9526
Air Asia,2019-05-03,Banglore,Delhi,04:55:00,07:45:00,0.0,No Info,6181
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,09:20:00,1.0,In-flight meal not included,9663
Jet Airways,2019-05-27,Delhi,Cochin,09:00:00,04:25:00,1.0,In-flight meal not included,12898
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,04:40:00,1.0,No Info,13941
Indigo,2019-03-27,Delhi,Cochin,05:05:00,10:05:00,1.0,No Info,6827
Indigo,2019-05-18,Delhi,Cochin,18:35:00,01:30:00,1.0,No Info,7503
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,05:05:00,1.0,No Info,26890
Multiple Carriers,2019-06-27,Delhi,Cochin,09:00:00,21:00:00,1.0,No Info,7408
Spicejet,2019-04-01,Banglore,Delhi,21:10:00,00:05:00,0.0,No Info,3625
Jet Airways,2019-06-27,Delhi,Cochin,07:05:00,12:35:00,1.0,No Info,14714
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,18:50:00,1.0,In-flight meal not included,15103
Multiple Carriers,2019-03-06,Delhi,Cochin,06:00:00,15:30:00,1.0,No Info,15147
